,imdb_id,gt_labels,predicted_labels
0,tt0105699,"['murder', 'suspenseful', 'neo noir', 'insanity']","['murder', 'violence', 'cult']"
1,tt0105793,"['cult', 'comedy', 'humor']","['murder', 'cult']"
2,tt0105812,"['cult', 'comedy', 'humor', 'entertaining']","['murder', 'violence', 'cult', 'comedy']"
3,tt0106273,"['tragedy', 'historical', 'queer']","['violence', 'cult']"
4,tt0106364,"['murder', 'violence', 'flashback', 'romantic', 'cult', 'revenge', 'psychedelic', 'comedy', 'good versus evil', 'neo noir', 'sadist', 'insanity', 'tragedy', 'gothic']","['murder', 'violence', 'cult', 'comedy']"
5,tt0106598,"['cult', 'stupid']","['murder', 'cult']"
6,tt0106611,"['cult', 'comedy', 'entertaining', 'inspiring', 'feel-good']","['murder', 'cult', 'comedy']"
7,tt0106673,"['romantic', 'satire', 'fantasy']","['murder', 'violence', 'cult', 'comedy']"
8,tt0106701,['prank'],"['murder', 'cult']"
9,tt0106881,"['flashback', 'boring', 'psychological']","['murder', 'violence', 'cult']"
10,tt0106926,['murder'],"['murder', 'violence', 'cult']"
11,tt0107048,"['romantic', 'cult', 'psychedelic', 'comedy', 'humor', 'satire', 'entertaining', 'fantasy', 'boring', 'alternate reality', 'cute', 'alternate history', 'clever', 'feel-good', 'magical realism']","['violence', 'cult']"
12,tt0107076,"['murder', 'violence', 'cult', 'revenge', 'comedy', 'action', 'sadist']","['murder', 'violence', 'cult']"
13,tt0107120,"['romantic', 'cult', 'revenge', 'good versus evil', 'entertaining', 'horror']","['murder', 'violence', 'cult']"
14,tt0107144,"['flashback', 'cult', 'revenge', 'comedy', 'humor', 'absurd', 'comic']",['no pred']
15,tt0107206,"['murder', 'violence', 'flashback', 'romantic', 'revenge', 'suspenseful', 'good versus evil', 'humor', 'neo noir', 'action', 'mystery']","['murder', 'violence', 'cult']"
16,tt0107207,"['violence', 'tragedy', 'dramatic', 'historical', 'realism']","['murder', 'violence', 'cult', 'comedy']"
17,tt0107247,['flashback'],['no pred']
